================================================================================
DEC	OCT	HX	UTF8	BINARY   	VAL	HTML	HTML Name	Description
--------------------------------------------------------------------------------
128	200	80	\u20ac	10000000	€	&#8364;	&euro;  	Euro sign
129	201	81	    	10000001	 	    	        	Unused
130	202	82	\u201a	10000010	‚	&#130;	&sbquo; 	Single low-9 quotation mark
131	203	83	\u0192	10000011	ƒ	&#131;	&fnof;  	Latin small letter f with hook
132	204	84	\u201e	10000100	„	&#132;	&bdquo; 	Double low-9 quotation mark
133	205	85	\u2026	10000101	…	&#133;	&hellip;	Horizontal ellipsis
134	206	86	\u2020	10000110	†	&#134;	&dagger;	Dagger
135	207	87	\u2021	10000111	‡	&#135;	&Dagger;	Double dagger
136	210	88	\u02c6	10001000	ˆ	&#136;	&circ;  	Modifier letter circumflex accent
137	211	89	\u2030	10001001	‰	&#137;	&permil;	Per mille sign
138	212	8A	\u0160	10001010	Š	&#138;	&Scaron;	Latin capital letter S with caron
139	213	8B	\u2039	10001011	‹	&#139;	&lsaquo;	Single left-pointing angle quotation
140	214	8C	\u0152	10001100	Œ	&#140;	&OElig; 	Latin capital ligature OE
141	215	8D	    	10001101	 	    	        	Unused
142	216	8E	\u017d	10001110	Ž	&#142;	&Zcaron;	Latin capital letter Z with caron
143	217	8F	    	10001111	 	    	        	Unused
144	220	90	    	10010000	 	    	        	Unused
145	221	91	\u2018	10010001	‘	&#145;	&lsquo; 	Left single quotation mark
146	222	92	\u2019	10010010	’	&#146;	&rsquo; 	Right single quotation mark
147	223	93	\u201c	10010011	“	&#147;	&ldquo; 	Left double quotation mark
148	224	94	\u201d	10010100	”	&#148;	&rdquo; 	Right double quotation mark
149	225	95	\u2022	10010101	•	&#149;	&bull;  	Bullet
150	226	96	\u2013	10010110	–	&#150;	&ndash; 	En dash
151	227	97	\u2014	10010111	—	&#151;	&mdash; 	Em dash
152	230	98	\u02dc	10011000	˜	&#152;	&tilde; 	Small tilde
153	231	99	\u2122	10011001	™	&#153;	&trade; 	Trade mark sign
154	232	9A	\u0161	10011010	š	&#154;	&scaron;	Latin small letter S with caron
155	233	9B	\u203a	10011011	›	&#155;	&rsaquo;	Single right-pointing angle quotation mark
156	234	9C	\u0153	10011100	œ	&#156;	&oelig; 	Latin small ligature oe
157	235	9D	    	10011101	 	    	        	Unused
158	236	9E	\u017e	10011110	ž	&#158;	&zcaron;	Latin small letter z with caron
159	237	9F	\u0178	10011111	Ÿ	&#159;	&Yuml;  	Latin capital letter Y with diaeresis
160	240	A0	    	10100000	 	&#160;	&nbsp;  	Non-breaking space
161	241	A1	\u00a1	10100001	¡	&#161;	&iexcl; 	Inverted exclamation mark
162	242	A2	\u00a2	10100010	¢	&#162;	&cent;  	Cent sign
163	243	A3	\u00a3	10100011	£	&#163;	&pound; 	Pound sign
164	244	A4	\u00a4	10100100	¤	&#164;	&curren;	Currency sign
165	245	A5	\u00a5	10100101	¥	&#165;	&yen;   	Yen sign
166	246	A6	\u00a6	10100110	¦	&#166;	&brvbar;	Pipe, broken vertical bar
167	247	A7	\u00a7	10100111	§	&#167;	&sect;  	Section sign
168	250	A8	\u00a8	10101000	¨	&#168;	&uml;   	Spacing diaeresis - umlaut
169	251	A9	\u00a9	10101001	©	&#169;	&copy;  	Copyright sign
170	252	AA	\u00aa	10101010	ª	&#170;	&ordf;  	Feminine ordinal indicator
171	253	AB	\u00ab	10101011	«	&#171;	&laquo; 	Left double angle quotes
172	254	AC	\u00ac	10101100	¬	&#172;	&not;   	Negation
173	255	AD	\u00ad	10101101	­SHY	&#173;	&shy;	Soft hyphen
174	256	AE	\u00ae	10101110	®	&#174;	&reg;   	Registered trade mark sign
175	257	AF	\u00af	10101111	¯	&#175;	&macr;  	Spacing macron - overline
176	260	B0	\u00b0	10110000	°	&#176;	&deg;   	Degree sign
177	261	B1	\u00b1	10110001	±	&#177;	&plusmn;	Plus-or-minus sign
178	262	B2	\u00b2	10110010	²	&#178;	&sup2;  	Superscript two - squared
179	263	B3	\u00b3	10110011	³	&#179;	&sup3;  	Superscript three - cubed
180	264	B4	\u00b4	10110100	´	&#180;	&acute; 	Acute accent - spacing acute
181	265	B5	\u00b5	10110101	µ	&#181;	&micro; 	Micro sign
182	266	B6	\u00b6	10110110	¶	&#182;	&para;  	Pilcrow sign - paragraph sign
183	267	B7	\u00b7	10110111	·	&#183;	&middot;	Middle dot - Georgian comma
184	270	B8	\u00b8	10111000	¸	&#184;	&cedil; 	Spacing cedilla
185	271	B9	\u00b9	10111001	¹	&#185;	&sup1;  	Superscript one
186	272	BA	\u00ba	10111010	º	&#186;	&ordm;  	Masculine ordinal indicator
187	273	BB	\u00bb	10111011	»	&#187;	&raquo; 	Right double angle quotes
188	274	BC	\u00bc	10111100	¼	&#188;	&frac14;	Fraction one quarter
189	275	BD	\u00bd	10111101	½	&#189;	&frac12;	Fraction one half
190	276	BE	\u00be	10111110	¾	&#190;	&frac34;	Fraction three quarters
191	277	BF	\u00bf	10111111	¿	&#191;	&iquest;	Inverted question mark
192	300	C0	\u00c0	11000000	À	&#192;	&Agrave;	Latin capital letter A with grave
193	301	C1	\u00c1	11000001	Á	&#193;	&Aacute;	Latin capital letter A with acute
194	302	C2	\u00c2	11000010	Â	&#194;	&Acirc; 	Latin capital letter A with circumflex
195	303	C3	\u00c3	11000011	Ã	&#195;	&Atilde;	Latin capital letter A with tilde
196	304	C4	\u00c4	11000100	Ä	&#196;	&Auml;  	Latin capital letter A with diaeresis
197	305	C5	\u00c5	11000101	Å	&#197;	&Aring; 	Latin capital letter A with ring above
198	306	C6	\u00c6	11000110	Æ	&#198;	&AElig; 	Latin capital letter AE
199	307	C7	\u00c7	11000111	Ç	&#199;	&Ccedil;	Latin capital letter C with cedilla
200	310	C8	\u00c8	11001000	È	&#200;	&Egrave;	Latin capital letter E with grave
201	311	C9	\u00c9	11001001	É	&#201;	&Eacute;	Latin capital letter E with acute
202	312	CA	\u00ca	11001010	Ê	&#202;	&Ecirc; 	Latin capital letter E with circumflex
203	313	CB	\u00cb	11001011	Ë	&#203;	&Euml;  	Latin capital letter E with diaeresis
204	314	CC	\u00cc	11001100	Ì	&#204;	&Igrave;	Latin capital letter I with grave
205	315	CD	\u00cd	11001101	Í	&#205;	&Iacute;	Latin capital letter I with acute
206	316	CE	\u00ce	11001110	Î	&#206;	&Icirc; 	Latin capital letter I with circumflex
207	317	CF	\u00cf	11001111	Ï	&#207;	&Iuml;  	Latin capital letter I with diaeresis
208	320	D0	\u00d0	11010000	Ð	&#208;	&ETH;   	Latin capital letter ETH
209	321	D1	\u00d1	11010001	Ñ	&#209;	&Ntilde;	Latin capital letter N with tilde
210	322	D2	\u00d2	11010010	Ò	&#210;	&Ograve;	Latin capital letter O with grave
211	323	D3	\u00d3	11010011	Ó	&#211;	&Oacute;	Latin capital letter O with acute
212	324	D4	\u00d4	11010100	Ô	&#212;	&Ocirc; 	Latin capital letter O with circumflex
213	325	D5	\u00d5	11010101	Õ	&#213;	&Otilde;	Latin capital letter O with tilde
214	326	D6	\u00d6	11010110	Ö	&#214;	&Ouml;  	Latin capital letter O with diaeresis
215	327	D7	\u00d7	11010111	×	&#215;	&times; 	Multiplication sign
216	330	D8	\u00d8	11011000	Ø	&#216;	&Oslash;	Latin capital letter O with slash
217	331	D9	\u00d9	11011001	Ù	&#217;	&Ugrave;	Latin capital letter U with grave
218	332	DA	\u00da	11011010	Ú	&#218;	&Uacute;	Latin capital letter U with acute
219	333	DB	\u00db	11011011	Û	&#219;	&Ucirc; 	Latin capital letter U with circumflex
220	334	DC	\u00dc	11011100	Ü	&#220;	&Uuml;  	Latin capital letter U with diaeresis
221	335	DD	\u00dd	11011101	Ý	&#221;	&Yacute;	Latin capital letter Y with acute
222	336	DE	\u00de	11011110	Þ	&#222;	&THORN; 	Latin capital letter THORN
223	337	DF	\u00df	11011111	ß	&#223;	&szlig; 	Latin small letter sharp s - ess-zed
224	340	E0	\u00e0	11100000	à	&#224;	&agrave;	Latin small letter a with grave
225	341	E1	\u00e1	11100001	á	&#225;	&aacute;	Latin small letter a with acute
226	342	E2	\u00e2	11100010	â	&#226;	&acirc; 	Latin small letter a with circumflex
